product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1;l;13.20;RON
P004;iaurt grecesc;lactate;Proxi;0.4;kg;11.60;RON
P007;ouă mărimea M;ouă;Din Ogradă;10;buc;12.40;RON
P010;brânză telemea;lactate;Proxi;0.3;kg;12.60;RON
P013;pâine albă;panificație;Proxi;500;g;3.55;RON
P016;roșii cherry;legume și fructe;Generic;250;g;8.60;RON
P019;piept pui;carne;Avicola;1;kg;27.00;RON
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;6.00;RON
P023;zahăr tos;alimente de bază;Proxi;1;kg;4.60;RON
P024;apă plată;băuturi;Aqua Carpatica;2;l;5.40;RON
P027;banane;legume și fructe;Generic;1;kg;6.20;RON
P030;ulei floarea-soarelui;alimente de bază;Spornic;1;l;9.00;RON
P033;biscuiți cu unt;gustări;RoStar;0.2;kg;7.30;RON
P036;cafea măcinată;cafea;Tchibo;0.25;kg;22.10;RON
P039;detergent lichid;produse de menaj;Dero;2.5;l;48.50;RON
P042;șampon păr gras;îngrijire personală;Schauma;400;ml;17.60;RON
P045;hârtie igienică 3 straturi;produse de menaj;Motto;10;role;18.60;RON
P048;piper negru măcinat;condimente;Kamis;50;g;6.15;RON
P051;vin alb demisec;băuturi;Cotnari;0.75;l;23.20;RON
P054;ciocolată neagră 70%;gustări;Poiana;100;g;4.10;RON
P059;morcovi;legume și fructe;Generic;0.5;kg;2.65;RON
P067;orez bob lung;alimente de bază;Deroni;1;kg;8.10;RON
P068;iaurt de băut;lactate;Activia;0.33;kg;5.10;RON
P069;pastă de dinți;îngrijire personală;Colgate;100;ml;10.60;RON
P070;bere blondă;băuturi;Ursus;0.5;l;3.90;RON
